GRBname,T90_start,T90_end,T100_start,T100_end,fluence,hardness
GRB080310,-71.764,318.396,-57.84,305.372,2.904606e-06 ,0.9271714476807855
GRB080307,-0.44,140.56,2.56,126.56,1.466086e-06 ,1.3756561132286222
GRB080303,-0.204,73.584,0.248,67.836,1.198250e-06 ,1.6632592379428128
GRB080229A,-15.144,80.856,-15.144,48.856,1.356536e-05 ,1.1712778183596777
GRB080218B,-0.848,6.576,-0.528,6.0,7.103591e-07 ,0.8174101536409989
GRB080218A,-12.352,12.752,-11.504,11.296,7.934210e-07 ,1.084501263929175
GRB080212,-62.232,78.112,-54.768,71.544,5.785590e-06 ,1.5082385693060834
GRB080210,-14.264,46.024,-9.968,32.296,2.823029e-06 ,1.2895257852657533
GRB080207,5.16,332.892,30.784,323.244,1.092789e-05 ,1.403427340794687
GRB080205,-10.088,105.384,-5.492,100.804,2.828668e-06 ,1.0900086384185994
GRB080130,0.0,67.2,3.2,64.0,1.796426e-06 ,1.9589803257204044
GRB080129,-3.456,52.432,-1.444,48.736,1.723789e-06 ,2.0193417891370413
GRB080123,0.012,121.132,0.028,114.94,7.379622e-07 ,1.2747063455736123
GRB080121,0.0,0.496,0.048,0.368,5.502143e-08 ,1.7549309729683213
GRB071227,-0.144,150.552,0.064,142.544,6.727958e-07 ,1.2431966563450856
GRB071129,-5.64,465.08,-0.412,407.668,5.351115e-06 ,1.1865882228505709
GRB071122,-29.412,55.692,-22.588,48.844,1.016692e-06 ,1.5688820226610458
GRB071118,-31.48,87.496,-24.76,80.84,1.157969e-06 ,1.6440316270806168
GRB071117,-0.44,13.884,-0.204,5.872,4.329254e-06 ,1.4476377958056117
GRB071112C,,,,,,
GRB071112B,-0.048,0.272,-0.048,0.256,1.474382e-07 ,3.3528191171483184
GRB071101,-1.552,3.624,-1.316,3.508,9.594099e-08 ,1.3128646898177858
GRB071031,-4.532,192.48,-1.128,179.516,1.082346e-06 ,0.8912092420365862
GRB071028B,0.0,54.4,1.6,52.8,,
GRB071028A,19.24,48.884,20.164,47.02,4.527498e-07 ,1.3415902489827998
GRB071025,38.5,437.28,56.492,297.788,1.149278e-05 ,1.261013992907051
GRB071021,-33.576,250.76,-15.704,213.016,2.188804e-06 ,1.4094193604875576
GRB071020,-3.052,7.532,-2.452,1.848,5.482210e-06 ,1.9459423958059912
GRB071018,119.784,415.956,132.196,405.764,1.775477e-06 ,1.567761847773741
GRB071013,3.6,81.552,4.112,79.696,6.570768e-07 ,1.7580856772993736
GRB071011,-9.472,77.652,-4.228,61.652,4.325516e-06 ,1.5887661886557831
GRB071010C,0.0,12.8,0.0,12.8,,
GRB071010B,-35.74,23.828,-21.464,14.66,6.411174e-06 ,1.0488422347062358
GRB071010A,-1.144,5.876,-0.904,5.42,2.530621e-07 ,1.049155908924753
GRB071008,-11.008,13.568,-8.064,9.92,3.227541e-07 ,1.0477074050553652
GRB071006,0.0,46.4,1.6,44.8,,
GRB071003,-7.568,167.596,-1.48,146.908,1.641777e-05 ,1.6484649798683186
GRB071001,-0.044,61.8,0.92,58.348,1.260084e-06 ,1.3691778508955077
GRB070923,-0.004,0.04,-0.004,0.036,1.155161e-07 ,2.9297448578130867
GRB070920B,-14.12,13.352,-11.208,11.048,1.173110e-06 ,1.149608227998585
GRB070920A,15.18,74.816,16.88,72.64,8.580997e-07 ,1.4942729923201112
GRB070917,-0.104,15.128,0.212,8.932,3.755260e-06 ,1.4630867204521538
GRB070913,-1.584,1.292,-1.496,1.188,3.168975e-07 ,1.805426547102405
